datetime,timestamp,open,high,low,close,volume
2025-07-03 14:00:00+00:00,1751551200000,110228.81,110436.61,109577.01,109681.05,3536737.494811189
2025-07-03 15:00:00+00:00,1751554800000,109681.05,109818.19,109076.77,109101.08,2751913.4423089954
2025-07-03 16:00:00+00:00,1751558400000,109101.08,109616.99,109009.81,109309.02,2165335.754012111
2025-07-03 17:00:00+00:00,1751562000000,109295.15,109590.16,109288.1,109522.86,1440489.5432231205
2025-07-03 18:00:00+00:00,1751565600000,109522.85,109702.48,109352.97,109676.92,1624913.814066819
2025-07-03 19:00:00+00:00,1751569200000,109641.14,109849.05,109632.95,109748.72,1114304.7918152239
2025-07-03 20:00:00+00:00,1751572800000,109748.73,109890.0,109748.73,109869.98,1788783.2405982162
2025-07-03 21:00:00+00:00,1751576400000,109869.99,109957.13,109691.03,109769.02,1184707.3531048796
2025-07-03 22:00:00+00:00,1751580000000,109769.03,109849.47,109650.03,109687.98,763526.7231374227
2025-07-03 23:00:00+00:00,1751583600000,109687.98,109790.99,109558.71,109574.79,599658.0102856245
2025-07-04 00:00:00+00:00,1751587200000,109574.8,109677.9,109404.43,109456.87,910669.2698664153
2025-07-04 01:00:00+00:00,1751590800000,109448.08,109700.0,109446.64,109499.05,747411.1925509103
2025-07-04 02:00:00+00:00,1751594400000,109499.04,109499.04,109121.81,109186.41,575999.145295272
2025-07-04 03:00:00+00:00,1751598000000,109186.41,109328.22,109108.31,109229.42,1043061.7058297951
2025-07-04 04:00:00+00:00,1751601600000,109229.42,109317.19,108971.96,108971.97,964623.0128267768
2025-07-04 05:00:00+00:00,1751605200000,108971.98,109200.07,108948.42,109007.21,862234.4391876142
2025-07-04 06:00:00+00:00,1751608800000,109007.21,109029.08,108820.39,108986.92,903161.5049392763
2025-07-04 07:00:00+00:00,1751612400000,108986.92,109090.76,108735.47,108735.48,996532.7054477589
2025-07-04 08:00:00+00:00,1751616000000,108735.47,108845.51,108550.02,108771.44,1099773.1106301118
2025-07-04 09:00:00+00:00,1751619600000,108771.44,109049.9,108771.44,108977.69,1105548.7932625539
2025-07-04 10:00:00+00:00,1751623200000,108977.69,109014.25,108867.77,108886.77,1144593.4817127846
2025-07-04 11:00:00+00:00,1751626800000,108886.77,109070.0,108872.85,108872.85,1346891.7363870787
2025-07-04 12:00:00+00:00,1751630400000,108872.85,108968.77,108650.52,108715.5,980031.1257084952
2025-07-04 13:00:00+00:00,1751634000000,108709.97,108806.1,108040.0,108040.0,2362181.7204875215
2025-07-04 14:00:00+00:00,1751637600000,108040.0,108084.17,107554.69,107818.32,3551673.922205326
2025-07-04 15:00:00+00:00,1751641200000,107818.33,107928.56,107613.36,107613.36,1442503.9191241134
2025-07-04 16:00:00+00:00,1751644800000,107613.36,107720.0,107393.09,107632.18,1581044.2692887394
2025-07-04 17:00:00+00:00,1751648400000,107632.18,107967.0,107632.18,107869.02,817855.2168328156
2025-07-04 18:00:00+00:00,1751652000000,107869.01,107869.02,107525.4,107525.41,482054.2334928405
2025-07-04 19:00:00+00:00,1751655600000,107525.41,107600.0,107283.78,107483.81,923460.6585246332
2025-07-04 20:00:00+00:00,1751659200000,107483.81,107789.0,107471.97,107730.96,610556.2781773485
2025-07-04 21:00:00+00:00,1751662800000,107730.96,107894.0,107710.9,107893.96,539357.4286739725
2025-07-04 22:00:00+00:00,1751666400000,107893.96,108227.45,107893.96,108227.41,711681.1895393719
2025-07-04 23:00:00+00:00,1751670000000,108227.42,108250.01,107984.8,107984.81,594843.0825422716
2025-07-05 00:00:00+00:00,1751673600000,107984.8,108208.93,107974.63,108201.47,446043.55791245
2025-07-05 01:00:00+00:00,1751677200000,108201.46,108201.46,107934.47,107973.62,677965.1152416819
2025-07-05 02:00:00+00:00,1751680800000,107975.55,108080.0,107766.19,108062.87,456077.8203094117
2025-07-05 03:00:00+00:00,1751684400000,108062.88,108228.02,108062.88,108158.04,334492.0647479313
2025-07-05 04:00:00+00:00,1751688000000,108158.04,108397.4,108044.65,108174.85,1018107.9338316286
2025-07-05 05:00:00+00:00,1751691600000,108174.84,108174.85,108000.0,108115.5,587386.9960479324
2025-07-05 06:00:00+00:00,1751695200000,108115.5,108242.97,108077.83,108237.95,513456.4540784617
2025-07-05 07:00:00+00:00,1751698800000,108237.95,108237.95,108000.01,108012.2,772502.6668235166
2025-07-05 08:00:00+00:00,1751702400000,108012.19,108074.57,107936.16,107978.23,652884.5086056138
2025-07-05 09:00:00+00:00,1751706000000,107978.23,108073.24,107882.36,108067.26,1159829.9630776714
2025-07-05 10:00:00+00:00,1751709600000,108067.26,108150.0,108051.73,108074.82,1012734.3265614648
2025-07-05 11:00:00+00:00,1751713200000,108074.84,108164.08,108074.83,108131.53,715553.8986257724
2025-07-05 12:00:00+00:00,1751716800000,108131.53,108131.53,107978.67,108109.32,599918.5651044077
2025-07-05 13:00:00+00:00,1751720400000,108109.33,108230.73,108099.99,108115.34,1174134.0635745688
2025-07-05 14:00:00+00:00,1751724000000,108115.34,108180.22,108093.04,108154.56,320219.8788362479
2025-07-05 15:00:00+00:00,1751727600000,108154.56,108154.57,108075.05,108075.05,648035.8592471401
2025-07-05 16:00:00+00:00,1751731200000,108075.05,108078.43,107850.01,108067.59,623899.1393823558
2025-07-05 17:00:00+00:00,1751734800000,108067.6,108100.01,107959.91,108065.9,543694.2359565526
2025-07-05 18:00:00+00:00,1751738400000,108065.9,108065.91,107838.0,107976.45,577265.4104638482
2025-07-05 19:00:00+00:00,1751742000000,107976.45,108200.0,107938.99,108130.97,955610.5987873115
2025-07-05 20:00:00+00:00,1751745600000,108130.97,108130.97,107973.22,108071.6,343285.8850495007
2025-07-05 21:00:00+00:00,1751749200000,108071.6,108130.41,108065.37,108079.98,247220.4444502772
2025-07-05 22:00:00+00:00,1751752800000,108079.99,108155.0,108038.67,108155.0,185027.2349817364
